,datetime,TempOut,OutHum,WindSpeed,Bar,Rain,SolarRad,Substation_VC_MIN_Filtered
0,22/01/2014 16:00,7.3,93.0,0.0,754.5,0.0,0.0,244.1
1,22/01/2014 17:00,7.4,93.0,0.0,754.8,0.0,0.0,242.018
2,22/01/2014 18:00,7.4,93.0,0.0,754.9,0.0,0.0,242.96400000000003
3,22/01/2014 19:00,7.2,94.0,0.0,755.0,0.25,0.0,244.291
4,22/01/2014 20:00,6.7,95.0,0.0,755.1,0.0,0.0,243.773
5,22/01/2014 21:00,6.0,94.0,0.0,755.1,0.0,0.0,243.767
6,22/01/2014 22:00,5.4,96.0,0.0,755.4,0.0,0.0,245.505
7,22/01/2014 23:00,4.8,96.0,0.0,755.6,0.0,0.0,243.666
8,23/01/2014 00:00,4.9,96.0,0.0,755.4,0.0,0.0,244.458
9,23/01/2014 01:00,5.1,96.0,0.0,755.1,0.0,0.0,244.325
10,23/01/2014 02:00,5.1,95.0,0.0,755.3,0.0,0.0,244.80200000000002
11,23/01/2014 03:00,5.1,95.0,1.0,755.0,0.0,2.0,243.50900000000001
12,23/01/2014 04:00,5.0,95.0,0.0,754.5,0.0,48.0,244.051
13,23/01/2014 05:00,5.6,93.0,2.0,754.6,0.0,95.0,243.863
14,23/01/2014 06:00,5.9,92.0,3.0,754.5,0.76,32.0,241.785
15,23/01/2014 07:00,5.0,94.0,3.0,753.7,1.52,26.0,242.31
16,23/01/2014 08:00,6.1,96.0,2.0,753.3,0.0,124.0,242.261
17,23/01/2014 09:00,6.7,85.0,5.0,753.4,0.0,91.0,243.658
18,23/01/2014 10:00,6.8,77.0,5.0,754.0,0.0,38.0,243.72
19,23/01/2014 11:00,6.4,79.0,3.0,754.5,0.0,29.0,243.072
20,23/01/2014 12:00,5.7,79.0,1.0,754.8,0.0,0.0,242.30700000000002
21,23/01/2014 13:00,3.2,90.0,4.0,755.7,0.0,0.0,241.607
22,23/01/2014 19:00,3.2,90.0,2.0,756.0,0.0,0.0,243.88400000000001
23,23/01/2014 20:00,4.1,82.0,4.0,756.6,0.0,0.0,243.359
24,23/01/2014 21:00,4.3,79.0,5.0,756.7,0.0,0.0,242.148
25,23/01/2014 22:00,3.7,81.0,3.0,756.9,0.0,0.0,242.53
26,23/01/2014 23:00,3.4,84.0,3.0,757.1,0.0,0.0,244.708
27,24/01/2014 00:00,2.9,86.0,2.0,757.5,0.0,0.0,244.139
28,24/01/2014 01:00,2.6,87.0,3.0,757.4,0.0,0.0,243.50900000000001
29,24/01/2014 02:00,2.2,89.0,2.0,757.7,0.0,0.0,242.828
30,24/01/2014 03:00,1.7,91.0,1.0,757.7,0.0,0.0,244.26
31,24/01/2014 04:00,1.3,93.0,0.0,757.6,0.0,0.0,244.72400000000002
32,24/01/2014 05:00,1.3,92.0,0.0,757.7,0.0,0.0,245.407
33,24/01/2014 06:00,0.9,94.0,0.0,757.9,0.0,0.0,243.774
34,24/01/2014 07:00,0.6,94.0,0.0,757.9,0.0,0.0,241.771
35,24/01/2014 08:00,0.2,95.0,0.0,758.1,0.0,8.0,242.667
36,24/01/2014 09:00,0.9,96.0,0.0,758.1,0.0,45.0,243.065
37,24/01/2014 10:00,2.2,96.0,0.0,758.2,0.0,74.0,240.676
38,24/01/2014 11:00,3.8,95.0,0.0,758.1,0.0,111.0,242.88
39,24/01/2014 12:00,5.7,90.0,0.0,757.7,0.0,179.0,243.643
40,24/01/2014 13:00,6.4,82.0,1.0,757.6,0.0,166.0,244.479
41,24/01/2014 14:00,6.9,83.0,1.0,757.3,0.0,183.0,244.245
42,24/01/2014 15:00,6.5,85.0,1.0,757.3,0.0,70.0,243.377
43,24/01/2014 20:00,6.4,92.0,6.0,753.8,0.0,0.0,242.951
44,24/01/2014 21:00,6.5,89.0,2.0,757.3,0.0,0.0,245.52700000000002
45,24/01/2014 22:00,6.2,93.0,2.0,757.1,0.25,0.0,243.601
46,24/01/2014 23:00,6.1,94.0,2.0,756.8,0.76,0.0,244.042
47,25/01/2014 00:00,6.1,95.0,1.0,756.9,0.76,0.0,244.542
48,25/01/2014 01:00,6.1,96.0,1.0,756.6,0.0,0.0,243.37099999999998
49,25/01/2014 02:00,6.1,97.0,1.0,756.7,0.76,0.0,243.887
50,25/01/2014 03:00,6.2,97.0,1.0,756.9,0.0,0.0,243.165
51,25/01/2014 04:00,6.3,97.0,1.0,756.8,0.0,0.0,243.40599999999998
52,25/01/2014 05:00,6.4,97.0,1.0,756.8,0.0,0.0,244.831
53,25/01/2014 06:00,6.4,97.0,0.0,756.8,0.25,0.0,243.83900000000003
54,25/01/2014 07:00,6.5,97.0,0.0,756.7,0.0,0.0,242.477
55,25/01/2014 08:00,6.9,98.0,0.0,756.9,0.0,0.0,241.588
56,25/01/2014 09:00,7.4,98.0,1.0,757.2,0.0,17.0,242.03
57,25/01/2014 10:00,7.8,98.0,3.0,757.1,0.0,46.0,244.238
58,25/01/2014 11:00,8.3,98.0,2.0,756.7,0.0,73.0,243.75599999999997
59,25/01/2014 12:00,8.8,97.0,2.0,755.3,0.0,96.0,243.854
60,25/01/2014 13:00,9.2,95.0,3.0,754.9,0.0,108.0,244.38299999999998
61,25/01/2014 14:00,10.1,92.0,3.0,753.3,0.0,171.0,243.896
62,25/01/2014 15:00,9.7,91.0,3.0,751.7,0.0,69.0,243.56400000000002
63,25/01/2014 16:00,9.9,85.0,4.0,751.4,0.0,23.0,243.392
64,25/01/2014 17:00,7.1,84.0,9.0,752.6,1.27,0.0,242.075
65,25/01/2014 18:00,4.3,91.0,5.0,752.9,0.0,0.0,242.705
66,25/01/2014 19:00,5.1,88.0,5.0,753.7,0.0,0.0,245.301
67,25/01/2014 20:00,5.6,82.0,6.0,754.2,0.0,0.0,244.47299999999998
68,25/01/2014 21:00,5.4,81.0,6.0,754.9,0.0,0.0,245.52599999999998
69,25/01/2014 22:00,5.1,81.0,6.0,755.6,0.0,0.0,244.15200000000002
70,25/01/2014 23:00,4.7,81.0,5.0,756.7,0.0,0.0,244.458
71,26/01/2014 00:00,4.4,81.0,4.0,757.3,0.0,0.0,243.541
72,26/01/2014 01:00,3.7,83.0,2.0,757.1,0.0,0.0,243.46900000000002
73,26/01/2014 02:00,3.3,85.0,2.0,757.3,0.0,0.0,243.21099999999998
74,26/01/2014 03:00,3.4,85.0,2.0,757.5,0.0,0.0,244.18
75,26/01/2014 04:00,3.2,86.0,2.0,757.5,0.0,0.0,244.597
76,26/01/2014 05:00,2.9,87.0,1.0,757.4,0.0,0.0,244.933
77,26/01/2014 06:00,1.9,90.0,0.0,755.7,0.0,0.0,244.332
78,26/01/2014 07:00,2.2,92.0,1.0,754.2,0.0,0.0,243.78599999999997
79,26/01/2014 08:00,2.6,92.0,1.0,754.5,0.0,1.0,244.105
80,26/01/2014 09:00,3.7,90.0,1.0,752.3,0.0,21.0,241.882
81,26/01/2014 10:00,4.9,89.0,3.0,751.1,0.0,37.0,242.484
82,26/01/2014 11:00,5.7,91.0,2.0,749.1,0.0,21.0,242.59599999999998
83,26/01/2014 12:00,6.4,94.0,4.0,746.3,0.51,31.0,243.91400000000002
84,26/01/2014 13:00,6.4,93.0,4.0,743.7,0.25,25.0,243.296
85,26/01/2014 14:00,6.7,95.0,3.0,741.3,0.76,18.0,243.83900000000003
86,26/01/2014 15:00,7.3,96.0,4.0,739.7,0.25,12.0,244.985
87,26/01/2014 16:00,7.9,96.0,3.0,738.5,0.25,16.0,245.315
88,26/01/2014 17:00,7.6,86.0,5.0,738.6,0.25,0.0,242.28099999999998
89,26/01/2014 18:00,6.6,86.0,3.0,739.0,0.0,0.0,242.672
90,26/01/2014 19:00,6.2,86.0,2.0,739.2,0.0,0.0,244.082
91,26/01/2014 20:00,5.9,81.0,5.0,739.8,0.0,0.0,245.303
92,26/01/2014 21:00,5.0,79.0,3.0,740.2,0.0,0.0,245.17
93,26/01/2014 22:00,3.8,84.0,3.0,740.7,0.0,0.0,245.132
94,26/01/2014 23:00,3.1,86.0,4.0,740.8,0.0,0.0,244.642
95,27/01/2014 00:00,2.9,84.0,7.0,740.6,0.0,0.0,243.938
96,27/01/2014 01:00,2.9,84.0,7.0,740.5,0.0,0.0,242.99099999999999
97,27/01/2014 02:00,3.0,84.0,8.0,740.3,0.0,0.0,220.171
98,27/01/2014 03:00,2.6,85.0,6.0,740.2,0.0,0.0,244.834
99,27/01/2014 04:00,2.6,86.0,5.0,739.9,0.0,0.0,245.007
100,27/01/2014 05:00,2.3,86.0,3.0,740.2,0.0,0.0,245.485
101,27/01/2014 06:00,1.7,89.0,2.0,739.7,0.0,0.0,243.903
102,27/01/2014 07:00,1.7,89.0,2.0,739.3,0.0,0.0,241.46599999999998
103,27/01/2014 08:00,1.8,89.0,2.0,738.9,0.0,7.0,241.83599999999998
104,27/01/2014 09:00,2.6,90.0,2.0,738.8,0.25,21.0,243.34599999999998
